name,year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total
Aaden,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Aaden,2007,0,5,0,5,20,6,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,5,0,0,0,5,14,0,0,0,0,0,0,0,98
Aaden,2008,0,15,13,20,135,10,9,0,0,51,29,6,18,0,40,18,10,24,12,10,16,0,29,18,25,13,5,27,5,7,0,7,7,8,63,33,12,5,35,0,15,6,15,99,8,26,0,11,19,5,0,939
Aaden,2009,0,28,20,23,158,22,12,0,5,62,39,0,20,0,65,19,13,24,25,25,17,5,41,20,29,18,0,28,0,9,0,22,10,13,59,43,24,9,54,6,11,0,33,140,6,17,0,31,23,14,0,1242
Aaden,2010,0,8,6,12,62,9,5,0,0,28,13,0,0,0,13,8,6,8,11,0,7,0,15,9,6,6,0,13,0,0,0,10,0,8,20,12,0,0,18,0,6,0,9,56,0,11,0,7,12,0,0,414
Aaden,2011,0,10,0,0,39,7,0,0,0,11,10,0,7,0,10,9,0,5,6,0,0,0,7,6,7,0,0,10,0,0,0,5,0,0,16,8,0,0,0,0,6,0,6,26,0,7,0,5,5,0,0,228
Aaden,2012,0,7,0,5,38,0,0,0,0,19,6,0,0,0,7,0,0,6,0,5,5,0,5,0,6,0,0,7,0,0,0,0,0,0,14,10,0,0,0,0,0,0,5,17,0,0,0,5,0,0,0,167
Aaden,2013,0,5,0,0,29,0,0,0,0,20,10,0,0,0,11,0,0,0,6,0,0,0,5,0,0,6,0,6,0,0,0,5,0,0,9,5,0,0,7,0,5,0,0,25,0,0,0,0,0,0,0,154
Aaden,2014,0,0,0,5,31,6,0,0,0,14,10,0,0,0,11,0,0,0,6,0,0,0,0,0,7,11,0,0,0,0,0,8,0,0,14,14,0,0,6,0,6,0,0,24,0,8,0,0,0,0,0,181
Aaden,2015,0,5,0,14,34,5,7,0,0,22,16,0,0,0,12,0,0,5,0,0,9,0,12,5,0,5,0,11,0,0,0,0,0,0,18,9,0,0,0,0,8,0,0,35,0,9,0,0,6,0,0,247
Aadhya,2007,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Aadhya,2009,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Aadhya,2011,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,20
Aadhya,2012,0,0,0,0,22,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,66
Aadhya,2013,0,0,0,0,32,0,6,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,7,0,0,0,0,6,0,0,0,23,0,0,0,8,0,0,5,0,0,0,0,17,0,9,0,6,0,0,0,135
Aadhya,2014,0,0,0,5,36,0,6,0,0,5,12,0,0,0,14,0,0,0,0,7,8,0,8,0,0,0,0,12,0,0,0,25,0,0,0,8,0,0,13,0,0,0,5,31,0,19,0,7,0,0,0,221
Aadhya,2015,0,0,0,6,50,0,6,0,0,8,6,0,0,0,15,0,0,0,0,10,0,0,5,8,0,0,0,8,0,0,0,23,0,0,8,11,0,0,10,0,0,0,0,30,0,19,0,10,5,0,0,238
Aaliyah,1977,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,26
Aaliyah,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,26
Aaliyah,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22
Aaliyah,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,26
Aaliyah,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10
Aaliyah,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Aaliyah,1994,0,56,24,0,116,9,20,7,9,75,101,0,0,0,95,28,13,21,56,16,23,0,42,0,27,63,0,93,0,0,0,40,5,0,83,63,24,0,46,0,55,0,46,80,0,54,0,5,17,0,0,1412
Aaliyah,1995,0,36,25,19,74,7,9,7,0,84,66,0,8,0,69,20,13,12,37,18,26,5,46,6,28,36,0,53,0,0,0,47,6,0,104,61,8,5,56,9,48,0,44,76,0,39,0,7,14,0,0,1228
Aaliyah,1996,0,29,15,0,56,7,7,10,5,53,45,0,0,0,66,14,7,14,29,7,22,0,21,6,11,32,0,42,0,0,0,27,5,0,55,30,5,6,33,0,26,0,22,49,0,27,0,10,9,0,0,802
Aaliyah,1997,0,61,18,25,149,17,20,10,7,130,90,8,9,0,112,26,11,20,63,23,40,0,45,10,27,49,0,72,0,0,0,45,13,0,135,69,19,0,79,5,45,0,55,116,0,51,0,14,18,0,0,1706
Aaliyah,1998,0,43,13,23,108,16,14,7,6,87,62,7,6,0,86,28,6,15,55,12,29,0,39,11,21,41,0,52,0,5,0,48,15,6,105,45,16,6,69,0,41,0,41,107,0,37,0,19,18,11,0,1376
Aaliyah,1999,5,30,12,14,86,18,9,6,5,65,60,0,5,9,55,22,5,14,31,8,27,0,32,10,23,30,0,39,0,0,0,25,13,0,85,40,18,12,41,0,20,0,27,93,0,33,0,16,15,0,0,1058
Aaliyah,2000,0,34,10,30,120,23,14,5,0,107,75,0,9,0,69,25,16,13,59,24,18,0,55,15,26,35,0,60,0,11,7,45,12,8,127,44,13,9,57,0,39,0,40,126,8,32,0,22,23,0,0,1465
Aaliyah,2001,5,76,36,51,320,41,40,22,11,245,167,18,17,9,175,69,19,32,125,48,74,6,99,34,43,78,5,125,5,17,0,98,27,25,254,95,26,26,107,10,72,8,63,321,9,86,0,36,50,25,0,3350
Aaliyah,2002,7,82,51,88,490,69,50,27,15,313,200,13,31,20,231,102,38,59,139,107,89,11,118,53,67,120,5,184,6,27,10,129,65,37,353,130,49,35,181,11,87,8,120,462,19,121,5,66,55,22,0,4777
Aaliyah,2003,10,80,30,72,464,56,38,16,13,233,151,12,26,13,185,77,31,36,89,57,75,8,103,36,64,69,5,121,5,14,5,90,42,24,234,119,46,22,153,12,71,6,97,303,20,102,0,57,59,16,0,3667
Aaliyah,2004,10,58,40,98,424,50,35,22,9,222,119,13,17,10,162,77,31,23.5,82,54,58,9,104,44,59,55,11,102,5,18,0,89,39,24,229,122,40,29,124,14,55,0,79,322,30,104,0,59,51,21,0,3452.5
Aaliyah,2005,9,68,35,84,398,58,31,22,13,221,120,23,17,11,157,63,29,39,75,57,66,7,112,46,69,40,5,124,5,17,0,73,59,36,214,127,42,28,130,15,60,7,86,307,33,91,0,58,42,18,0,3447
Aaliyah,2006,7,69,29,90,431,50,33,11,10,245,158,15,20,14,185,70,35,53,76,55,63,7,99,45,60,63,0,131,5,23,5,91,55,35,214,151,30,31,140,19,65,9,84,382,32,92,5,56,72,15,0,3735
Aaliyah,2007,14,88,24,100,475,65,56,12,17,255,176,12,25,22,187,81,34,46,74,58,86,6,101,50,65,62,13,117,11,19,0,92,59,47,188,147,42,43,133,21,67,15,74,391,31,110,6,65,50,15,0,3947
